branches=3;steps=150;width=50;sectors=5;;;;
1;214;18,071052;18,071052;converged:;99;;
1;291;5,212247;5,212247;;;;
1;544;9,394654;9,394654;average price:;10,3159904343434;10,3159904343434;ИСТИНА
1;468;17,079728;17,079728;upper quartile:;13,558201;max:;21,888643
1;906;12,468042;12,468042;lower quartile:;7,051506;min:;1,191426
1;241;10,633780;10,633780;;;;
1;446;13,063826;13,063826;;;;
1;656;6,944126;6,944126;;;;
1;578;17,551565;17,551565;;;;
1;470;9,875101;9,875101;;;;
1;153;14,138798;14,138798;;;;
1;657;11,486590;11,486590;;;;
1;419;8,451570;8,451570;;;;
1;222;1,191426;1,191426;;;;
1;134;7,613923;7,613923;;;;
1;365;13,586807;13,586807;;;;
1;321;15,922844;15,922844;;;;
1;590;3,832587;3,832587;;;;
1;232;14,211965;14,211965;;;;
1;216;15,789959;15,789959;;;;
1;270;21,888643;21,888643;;;;
1;264;7,236571;7,236571;;;;
1;766;9,437291;9,437291;;;;
1;364;3,475656;3,475656;;;;
1;356;1,992221;1,992221;;;;
1;148;8,198370;8,198370;;;;
1;763;16,541713;16,541713;;;;
1;337;11,924860;11,924860;;;;
1;11;16,949717;16,949717;;;;
1;265;7,299763;7,299763;;;;
1;269;11,060019;11,060019;;;;
1;316;6,671351;6,671351;;;;
1;269;7,617368;7,617368;;;;
1;526;17,427670;17,427670;;;;
1;107;16,932537;16,932537;;;;
1;221;6,741009;6,741009;;;;
1;200;4,102323;4,102323;;;;
1;87;8,008428;8,008428;;;;
1;245;16,172071;16,172071;;;;
1;668;13,982825;13,982825;;;;
1;380;4,220219;4,220219;;;;
1;359;14,119524;14,119524;;;;
1;580;17,652630;17,652630;;;;
1;181;9,954994;9,954994;;;;
1;477;6,524795;6,524795;;;;
1;496;11,303186;11,303186;;;;
1;340;8,641249;8,641249;;;;
1;164;14,455510;14,455510;;;;
1;118;13,139739;13,139739;;;;
1;311;5,808280;5,808280;;;;
1;408;12,419637;12,419637;;;;
1;663;7,075754;7,075754;;;;
0;1000;19,601730;;;;;
1;162;8,010335;8,010335;;;;
1;346;12,186116;12,186116;;;;
1;463;14,965818;14,965818;;;;
1;266;6,100838;6,100838;;;;
1;951;16,631277;16,631277;;;;
1;312;6,533479;6,533479;;;;
1;175;8,790054;8,790054;;;;
1;255;8,359630;8,359630;;;;
1;288;7,027258;7,027258;;;;
1;143;12,080470;12,080470;;;;
1;376;14,147477;14,147477;;;;
1;141;7,256131;7,256131;;;;
1;164;19,935782;19,935782;;;;
1;5;8,188598;8,188598;;;;
1;323;8,857286;8,857286;;;;
1;211;15,676386;15,676386;;;;
1;70;11,508699;11,508699;;;;
1;220;11,918510;11,918510;;;;
1;67;7,978671;7,978671;;;;
1;368;6,279241;6,279241;;;;
1;373;10,337671;10,337671;;;;
1;109;4,960608;4,960608;;;;
1;361;2,437105;2,437105;;;;
1;639;1,531151;1,531151;;;;
1;797;10,768596;10,768596;;;;
1;73;10,790827;10,790827;;;;
1;232;8,376575;8,376575;;;;
1;656;12,634065;12,634065;;;;
1;334;13,365226;13,365226;;;;
1;316;8,953715;8,953715;;;;
1;849;16,494493;16,494493;;;;
1;298;6,179791;6,179791;;;;
1;649;13,104491;13,104491;;;;
1;243;12,325329;12,325329;;;;
1;519;11,310571;11,310571;;;;
1;84;8,409287;8,409287;;;;
1;189;5,666336;5,666336;;;;
1;348;1,660135;1,660135;;;;
1;412;7,562693;7,562693;;;;
1;373;15,948034;15,948034;;;;
1;90;12,725677;12,725677;;;;
1;88;13,529595;13,529595;;;;
1;577;2,825639;2,825639;;;;
1;798;5,123794;5,123794;;;;
1;215;8,956637;8,956637;;;;
1;795;12,916057;12,916057;;;;
1;307;4,460386;4,460386;;;;
Converged: 99;;;;;;;
Not converged: 1;;;;;;;
