M,n,estimate
25, 10, 10.409678
25, 10, 8.655667
25, 10, 10.965981
25, 10, 10.059658
25, 10, 7.998245
25, 10, 8.101904
25, 10, 9.459227
25, 10, 8.562880
25, 10, 7.916779
25, 10, 9.667819
25, 25, 8.566159
25, 25, 11.725542
25, 25, 9.538871
25, 25, 10.411155
25, 25, 11.311732
25, 25, 11.573452
25, 25, 11.449965
25, 25, 9.997981
25, 25, 10.448588
25, 25, 12.123406
25, 50, 11.539330
25, 50, 11.333940
25, 50, 9.110622
25, 50, 10.724626
25, 50, 10.547518
25, 50, 11.595096
25, 50, 10.789221
25, 50, 10.764749
25, 50, 11.897071
25, 50, 12.243759
25, 100, 10.915129
25, 100, 11.065538
25, 100, 12.062197
25, 100, 11.720798
25, 100, 12.043569
25, 100, 11.874984
25, 100, 11.400659
25, 100, 10.864929
25, 100, 12.105032
25, 100, 12.300497
50, 10, 9.170537
50, 10, 7.512902
50, 10, 9.891956
50, 10, 10.377421
50, 10, 9.082925
50, 10, 9.768647
50, 10, 9.993156
50, 10, 9.546239
50, 10, 9.195589
50, 10, 10.708751
50, 25, 11.225459
50, 25, 8.514275
50, 25, 9.029223
50, 25, 10.461967
50, 25, 10.916646
50, 25, 10.691918
50, 25, 10.656759
50, 25, 9.028392
50, 25, 9.600238
50, 25, 10.710296
50, 50, 10.287952
50, 50, 11.316997
50, 50, 10.585736
50, 50, 10.461374
50, 50, 11.182402
50, 50, 10.717413
50, 50, 10.780760
50, 50, 11.304887
50, 50, 10.905981
50, 50, 10.223574
50, 100, 11.400865
50, 100, 11.049808
50, 100, 10.708252
50, 100, 11.639099
50, 100, 11.983999
50, 100, 10.801315
50, 100, 11.649122
50, 100, 11.025955
50, 100, 10.780992
50, 100, 11.440027
75, 10, 9.189168
75, 10, 8.325674
75, 10, 8.404704
75, 10, 8.627117
75, 10, 8.456477
75, 10, 8.787493
75, 10, 8.918903
75, 10, 9.931231
75, 10, 10.031591
75, 10, 9.025241
75, 25, 10.558926
75, 25, 10.126158
75, 25, 10.377225
75, 25, 10.325830
75, 25, 10.811440
75, 25, 10.183960
75, 25, 10.535088
75, 25, 10.549628
75, 25, 9.812121
75, 25, 11.009010
75, 50, 10.941015
75, 50, 10.436609
75, 50, 10.814320
75, 50, 11.616343
75, 50, 10.682610
75, 50, 10.061051
75, 50, 10.902199
75, 50, 10.498755
75, 50, 10.287243
75, 50, 10.904507
75, 100, 10.829640
75, 100, 10.793097
75, 100, 10.778934
75, 100, 11.456085
75, 100, 10.732198
75, 100, 10.813306
75, 100, 11.206621
75, 100, 11.288564
75, 100, 10.750421
75, 100, 10.975091
100, 10, 8.214331
100, 10, 9.196390
100, 10, 9.889613
100, 10, 9.676586
100, 10, 9.462801
100, 10, 9.462194
100, 10, 9.128349
100, 10, 8.495179
100, 10, 9.501969
100, 10, 8.451111
100, 25, 10.173142
100, 25, 9.977726
100, 25, 9.492653
100, 25, 10.272096
100, 25, 10.623111
100, 25, 10.048292
100, 25, 10.549634
100, 25, 10.972386
100, 25, 10.478346
100, 25, 10.163996
100, 50, 10.483161
100, 50, 10.019771
100, 50, 10.415199
100, 50, 10.627337
100, 50, 10.437854
100, 50, 10.374480
100, 50, 10.422994
100, 50, 10.569876
100, 50, 11.173274
100, 50, 10.226136
100, 100, 10.781743
100, 100, 10.953336
100, 100, 10.667343
100, 100, 11.087405
100, 100, 10.824672
100, 100, 10.678892
100, 100, 10.489255
100, 100, 10.751844
100, 100, 10.877194
100, 100, 10.920149
